epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1025.67,0.45774,0.37359,0.99171,0.5405,0.59794,0.60786,0.50987,0.68602,1.21471,1.15915,8.73768e-05,8.73768e-05,8.73768e-05
88,1038.19,0.44818,0.36685,0.99383,0.63899,0.51131,0.59672,0.48836,0.69083,1.193,1.14916,8.15556e-05,8.15556e-05,8.15556e-05
89,1051.87,0.4543,0.36783,0.99393,0.50446,0.67444,0.61868,0.52028,0.6948,1.15589,1.15899,7.57344e-05,7.57344e-05,7.57344e-05
90,1065.85,0.45535,0.36085,0.98034,0.51853,0.69515,0.62557,0.5225,0.67942,1.14368,1.13819,6.99132e-05,6.99132e-05,6.99132e-05
91,1100.01,0.34674,0.29747,0.93591,0.54773,0.66028,0.62302,0.52326,0.67122,1.13796,1.13421,6.4092e-05,6.4092e-05,6.4092e-05
92,1113.82,0.32451,0.253,0.91918,0.53069,0.6718,0.654,0.55137,0.67454,1.16175,1.13969,5.82708e-05,5.82708e-05,5.82708e-05
93,1127.53,0.32502,0.23821,0.90884,0.5408,0.68759,0.63853,0.53229,0.67181,1.17297,1.13432,5.24496e-05,5.24496e-05,5.24496e-05
94,1141.18,0.32057,0.23594,0.90872,0.63341,0.55505,0.61905,0.52444,0.66224,1.19844,1.12219,4.66284e-05,4.66284e-05,4.66284e-05
95,1154.99,0.32082,0.23434,0.90085,0.58395,0.60045,0.6192,0.52093,0.67835,1.21219,1.13304,4.08072e-05,4.08072e-05,4.08072e-05
96,1168.76,0.31214,0.22396,0.9155,0.6286,0.56887,0.6258,0.52712,0.67848,1.17519,1.13551,3.4986e-05,3.4986e-05,3.4986e-05
97,1182.74,0.31342,0.21864,0.90842,0.61661,0.59555,0.61964,0.52088,0.68845,1.17523,1.14828,2.91648e-05,2.91648e-05,2.91648e-05
98,1195.99,0.30543,0.21712,0.89705,0.62965,0.58195,0.60755,0.51568,0.67772,1.15728,1.1397,2.33436e-05,2.33436e-05,2.33436e-05
99,1208.53,0.3019,0.22125,0.90252,0.60203,0.61251,0.60868,0.51467,0.6806,1.16396,1.14405,1.75224e-05,1.75224e-05,1.75224e-05
100,1222.73,0.3013,0.21794,0.89984,0.63678,0.57224,0.61486,0.51802,0.67824,1.17671,1.14408,1.17012e-05,1.17012e-05,1.17012e-05
