epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5838.09,0.80813,0.76216,1.16718,0.6974,0.61212,0.62748,0.43193,0.984,0.71577,1.34963,0.000163933,0.000163933,0.000163933
60,5937.11,0.80476,0.75717,1.16356,0.70841,0.59408,0.61713,0.41891,0.99098,0.7257,1.35702,0.000160122,0.000160122,0.000160122
61,6035.95,0.80731,0.74926,1.16817,0.72006,0.61648,0.62887,0.42761,0.98707,0.73252,1.34812,0.00015631,0.00015631,0.00015631
62,6134.62,0.7987,0.74613,1.16161,0.69535,0.57036,0.61455,0.41549,0.99139,0.74933,1.35796,0.000152498,0.000152498,0.000152498
63,6233.67,0.79793,0.73774,1.16129,0.71693,0.59451,0.62435,0.42117,0.99366,0.74248,1.36014,0.000148687,0.000148687,0.000148687
64,6332.14,0.80282,0.73266,1.16511,0.62232,0.58919,0.61713,0.4196,0.99074,0.7492,1.35687,0.000144875,0.000144875,0.000144875
65,6430.98,0.79453,0.73329,1.16187,0.70155,0.55662,0.61085,0.41934,0.9921,0.72717,1.35427,0.000141064,0.000141064,0.000141064
66,6529.66,0.78717,0.72604,1.15213,0.69271,0.59026,0.61424,0.41637,0.99976,0.72827,1.36118,0.000137252,0.000137252,0.000137252
67,6628.29,0.79233,0.72043,1.16136,0.66079,0.56781,0.61533,0.41511,0.99224,0.73244,1.35465,0.000133441,0.000133441,0.000133441
68,6727.35,0.78506,0.71748,1.1558,0.71978,0.55981,0.6035,0.41016,0.9852,0.75478,1.35029,0.000129629,0.000129629,0.000129629
69,6826.1,0.78075,0.71381,1.15147,0.67607,0.54412,0.60842,0.41571,0.9839,0.75592,1.35266,0.000125818,0.000125818,0.000125818
70,6925.16,0.77328,0.70028,1.14923,0.731,0.57921,0.6197,0.41652,0.99228,0.74628,1.35269,0.000122007,0.000122007,0.000122007
71,7023.46,0.77531,0.70943,1.14684,0.74696,0.55488,0.62743,0.42519,0.98334,0.7213,1.35255,0.000118195,0.000118195,0.000118195
72,7121.98,0.7751,0.6857,1.14555,0.63287,0.5828,0.61469,0.41735,0.98646,0.72283,1.35871,0.000114384,0.000114384,0.000114384
73,7220.47,0.77407,0.69271,1.14751,0.64922,0.58352,0.61526,0.41358,0.98336,0.73022,1.35712,0.000110572,0.000110572,0.000110572
74,7318.81,0.77279,0.69351,1.14457,0.61745,0.59287,0.60549,0.41491,0.98879,0.74291,1.3631,0.000106761,0.000106761,0.000106761
75,7417.69,0.76978,0.68825,1.1436,0.65276,0.54852,0.6031,0.40679,0.98814,0.74109,1.36478,0.000102949,0.000102949,0.000102949
76,7516.37,0.75672,0.68284,1.13567,0.60374,0.61873,0.60497,0.41331,0.97876,0.73358,1.36107,9.91375e-05,9.91375e-05,9.91375e-05
77,7615.18,0.763,0.67532,1.1404,0.62019,0.61021,0.60466,0.41447,0.97547,0.74336,1.35154,9.5326e-05,9.5326e-05,9.5326e-05
78,7713.6,0.75792,0.66145,1.13503,0.6136,0.57774,0.60559,0.41344,0.9874,0.74077,1.36128,9.15145e-05,9.15145e-05,9.15145e-05
79,7812.42,0.76021,0.67105,1.13875,0.63048,0.57835,0.61327,0.41807,0.98345,0.73177,1.36437,8.7703e-05,8.7703e-05,8.7703e-05
80,7911.29,0.75787,0.66621,1.13925,0.63263,0.56306,0.61544,0.41809,0.98947,0.73969,1.3626,8.38915e-05,8.38915e-05,8.38915e-05
81,8009.78,0.74509,0.65572,1.13112,0.65913,0.55112,0.61611,0.42157,0.98531,0.73762,1.36365,8.008e-05,8.008e-05,8.008e-05
82,8108.51,0.75563,0.65819,1.13541,0.6293,0.57806,0.60752,0.41751,0.98338,0.7366,1.3624,7.62685e-05,7.62685e-05,7.62685e-05
83,8206.9,0.74556,0.64983,1.12531,0.63777,0.56474,0.61237,0.42695,0.97905,0.74011,1.35688,7.2457e-05,7.2457e-05,7.2457e-05
84,8305.74,0.74423,0.6419,1.12727,0.63415,0.60078,0.61927,0.42421,0.98354,0.74047,1.36376,6.86455e-05,6.86455e-05,6.86455e-05
85,8404.17,0.73686,0.6439,1.12867,0.63236,0.59587,0.60955,0.41905,0.98096,0.75313,1.35961,6.4834e-05,6.4834e-05,6.4834e-05
86,8502.32,0.74943,0.64577,1.13332,0.65238,0.56865,0.61223,0.41788,0.98216,0.75258,1.36166,6.10225e-05,6.10225e-05,6.10225e-05
87,8601.32,0.73931,0.63359,1.12688,0.61583,0.61305,0.6015,0.4143,0.97775,0.75658,1.35893,5.7211e-05,5.7211e-05,5.7211e-05
88,8699.92,0.72866,0.62563,1.1203,0.65058,0.57297,0.60775,0.41404,0.98147,0.74628,1.36726,5.33995e-05,5.33995e-05,5.33995e-05
89,8798.22,0.73546,0.63776,1.12584,0.63775,0.59834,0.6147,0.41831,0.98188,0.74742,1.36683,4.9588e-05,4.9588e-05,4.9588e-05
90,8897.15,0.73135,0.61009,1.11575,0.62964,0.59328,0.60992,0.41626,0.98625,0.74301,1.37468,4.57765e-05,4.57765e-05,4.57765e-05
91,9020.84,0.62642,0.44678,1.10474,0.66256,0.55479,0.61812,0.41999,0.98958,0.75191,1.38153,4.1965e-05,4.1965e-05,4.1965e-05
92,9118.75,0.61489,0.4245,1.09631,0.66604,0.56137,0.6172,0.4207,0.98667,0.75291,1.37486,3.81535e-05,3.81535e-05,3.81535e-05
93,9216.59,0.60682,0.41817,1.08674,0.57886,0.59184,0.61924,0.4211,0.98726,0.75125,1.37486,3.4342e-05,3.4342e-05,3.4342e-05
94,9314.47,0.59909,0.41089,1.08589,0.65972,0.55626,0.62098,0.42146,0.98779,0.74663,1.37766,3.05305e-05,3.05305e-05,3.05305e-05
95,9411.92,0.59701,0.40959,1.08352,0.66384,0.55063,0.61728,0.42366,0.98543,0.74401,1.37612,2.6719e-05,2.6719e-05,2.6719e-05
96,9510.14,0.59545,0.40056,1.08105,0.6684,0.55795,0.61488,0.42097,0.98397,0.74694,1.37578,2.29075e-05,2.29075e-05,2.29075e-05
97,9608.01,0.58985,0.3975,1.0765,0.66844,0.56282,0.62154,0.42356,0.98539,0.74979,1.37747,1.9096e-05,1.9096e-05,1.9096e-05
98,9705.93,0.59194,0.39635,1.07592,0.65216,0.58424,0.6189,0.42216,0.98311,0.75223,1.37542,1.52845e-05,1.52845e-05,1.52845e-05
99,9803.95,0.58718,0.38642,1.07576,0.65176,0.5717,0.61358,0.41872,0.98484,0.75499,1.377,1.1473e-05,1.1473e-05,1.1473e-05
100,9901.84,0.57986,0.38365,1.07392,0.64405,0.58244,0.61275,0.41901,0.98362,0.75292,1.37791,7.6615e-06,7.6615e-06,7.6615e-06
